activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,1,演唱会,1038,南京,[],,1_1_607295365919,1777986363,False,0,1,0,0,「平安夜致幻剂」音墟 x 伤逝,「平安夜致幻剂」音墟 x 伤逝,100.0,100-150,150.0,[],607295365919,[],售票中,,2019.12.24 周二 20:30,3,13,其他,,欧拉艺术空间,南京,60877,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN017c1zlV2GdSDFZu4Hx_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_607344169247,1778474396,False,0,0,0,0,“8英里” 2019/2020赛季 城市赛 南京站,“8英里” 2019/2020赛季 城市赛 南京站,120.0,120,120.0,[],607344169247,[],售票中,,2019.12.27 周五 20:00,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01tUV8cT2GdSDJASHog_!!2-item_pic.png
[],,0,1,演唱会,1038,南京,[],,1_1_610526727569,1810299979,False,0,1,0,0,【世间美好与你环环相扣】柏松2019七城巡回音乐分享会 南京站,【世间美好与你环环相扣】柏松2019七城巡回音乐分享会 南京站,100.0,100-180,180.0,[],610526727569,[],售票中,,2019.12.30 周一 20:30,3,13,其他,,欧拉艺术空间,南京,60877,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01ec85Rs2GdSDnMEyJA_!!0-item_pic.jpg
[],艺人：吴青峰,0,1,演唱会,1038,南京,[],艺人：吴青峰,1_1_610050554319,1805538247,False,0,1,0,0,吴青峰“太空备忘记”巡回演唱会-南京站,吴青峰“太空备忘记”巡回演唱会-南京站,180.0,180-1280,1280.0,[],610050554319,[],售票中,,2020.04.03 周五 19:30,3,9,流行,,南京青奥体育公园体育馆,南京,92071,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01FA1noa2GdSDiIgzt9_!!2251059038.jpg
[],艺人：李健,0,1,演唱会,1038,南京,[],艺人：李健,1_1_605865694265,1763689646,False,0,1,0,0,中国平安“不止 是李健”世界巡回演唱会-南京站【安可场】,中国平安“不止 是李健”世界巡回演唱会-南京站【安可场】,380.0,380-1280,1280.0,[],605865694265,[],售票中,,2019.12.21 周六 19:30,3,9,流行,,南京青奥体育公园体育馆,南京,92071,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01Z00Sfk2GdSCvX5uTE_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_608974010173,1794772805,False,0,0,0,0,「M-LAB呈献」2019 傻子与白痴 “夜长梦少”巡演 第三章 南京站,「M-LAB呈献」2019 傻子与白痴 “夜长梦少”巡演 第三章 南京站,200.0,200,200.0,[],608974010173,[],售票中,,2019.12.30 周一 20:30,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01FDXmLp2GdSDUZbtaV_!!2-item_pic.png
[],艺人：花粥,0,1,演唱会,1038,南京,[],艺人：花粥,1_1_602948483307,1734517537,False,0,1,0,0,花粥“两碗三百”全国巡演 南京站,花粥“两碗三百”全国巡演 南京站,180.0,180-580,580.0,[],602948483307,[],售票中,,2019.12.24 周二 19:30,3,13,其他,,南京太阳宫,南京,58009,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01DOJaMJ2GdSCTv9OWn_!!0-item_pic.jpg
[],艺人：蔡依林,0,1,演唱会,1038,南京,[],艺人：蔡依林,1_1_610028166765,1805314371,False,0,1,0,0,蔡依林 Ugly Beauty 2020 世界巡回演唱会 南京站,蔡依林 Ugly Beauty 2020 世界巡回演唱会 南京站,499.0,499-1299,1299.0,[],610028166765,[],售票中,,2020.03.21 周六 19:30,3,13,其他,,南京青奥体育公园体育馆,南京,92071,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01eRsVFw2GdSDauvMMc_!!2251059038.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_609180476751,1796837471,False,0,1,0,0,她从来不唱我们的歌 南京站,她从来不唱我们的歌 南京站,150.0,150,150.0,[],609180476751,[],售票中,,2019.12.29 周日 20:30,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01OGISmJ2GdSDeQVbBc_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_609632411555,1801356819,False,0,1,0,0,国缘V9 清雅酱香2020 南京演唱会,国缘V9 清雅酱香2020 南京演唱会,380.0,380-1880,1880.0,[],609632411555,[],售票中,,2019.12.27 周五 19:30,3,9,流行,,五台山中国银联体育馆,南京,25,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN010nbUzS2GdSDa6Rn7u_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_607395104902,1778983753,False,0,1,0,0,2019圣诞节“致爱情”演唱会 南京站,2019圣诞节“致爱情”演唱会 南京站,180.0,180-280,280.0,[],607395104902,[],售票中,,2019.12.21 周六 19:30,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN015i9ci12GdSDD8kov1_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_608036343441,1785396138,False,0,1,0,0,「如约·天真无邪」栗先达 2019巡演 南京站,「如约·天真无邪」栗先达 2019巡演 南京站,120.0,120,120.0,[],608036343441,[],售票中,,2019.12.20 周五 20:00,3,13,其他,,欧拉艺术空间,南京,60877,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01GqnZ2V2GdSDLalC5U_!!0-item_pic.jpg
[],艺人：刘莱斯,0,1,演唱会,1038,南京,[],艺人：刘莱斯,1_1_606965722255,1774689926,False,0,1,0,0,“爱你爱你”刘莱斯2020新年演唱会,“爱你爱你”刘莱斯2020新年演唱会,180.0,180-280,280.0,[],606965722255,[],售票中,,2020.01.01 周三 19:30,3,13,其他,,南京奥体中心体育馆副馆,南京,1596045,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01WvZKhT2GdSD5RieTi_!!2-item_pic.png
[],艺人：潘玮柏,0,1,演唱会,1038,南京,[],艺人：潘玮柏,1_1_610434443184,1809377135,False,0,1,0,0,潘玮柏创使者 coming home演唱会 南京站,潘玮柏创使者 coming home演唱会 南京站,380.0,380-1280,1280.0,[],610434443184,[],售票中,,2020.01.11 周六 19:30,3,9,流行,,南京奥体中心体育馆,南京,369,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01MKkShv2GdSDl1YKDN_!!0-item_pic.jpg
[],艺人：戴佩妮,0,1,演唱会,1038,南京,[],艺人：戴佩妮,1_1_608867999047,1793712694,False,0,1,0,0,佛跳墙2019巡演BJ肆 南京站,佛跳墙2019巡演BJ肆 南京站,580.0,580-880,880.0,[],608867999047,[],售票中,,2019.12.22 周日 19:00,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01Kr32lw2GdSDQFZqxB_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_602375890050,1728791604,False,0,0,0,0,2019陈硕子《凌晨三点》巡演 （下） 南京站,2019陈硕子《凌晨三点》巡演 （下） 南京站,100.0,100,100.0,[],602375890050,[],售票中,,2019.12.20 周五 20:00,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01qPsWOY2GdSCQhB6PR_!!0-item_pic.jpg
[],,0,1,演唱会,1038,南京,[],,1_1_607039868818,1775431392,False,0,1,0,0,2019圣诞节平安夜重磅活动-超级枕头大战 南京站,2019圣诞节平安夜重磅活动-超级枕头大战 南京站,128.0,128-228,228.0,[],607039868818,[],售票中,,2019.12.25 周三,3,13,其他,,南京-稻香音乐空间,南京,1252049,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01RVnNBD2GdSDH03QGN_!!0-item_pic.jpg
